Tweet,message,Match,polarity
41,RT  Neoludica Art   Culture  Education  School  University  Art  GameArt Videogames  amp   CulturalHeritage   ,,neutral
42,RT  Vadakin City  As an alum  instructional faculty  ohiou were crucial to my education  OU Pres  Nellis must commit to not laying off inst,,neutral
43,RT  BrookingsGlobal  Jin Chi explains how coronavirus has disrupted lives and education in Chinaand also increasing the role of online lea,,neutral
44,RT  AHMED48  We university students demand the cancellation of the second term Our health is more important than education We come from al,important,positive
45,These messages have been recorded by my cousin in Canada   Hunaina Mirza Family physician  MD CCFP  TORONTO canada  ,,neutral
46,RT  maajidaali  One lesson learnt in  highereducation during  COVID 19 crisis Students  select  university for your  education that has,crisis,negative
47, JennyMae40  AOC To a European that is a strange idea   we all expect   and get   excellent care here  but the prof  ,"excellent, strange",neutral
48,One of our core values is the top notch education  Our team has devised the education policy with extra care  The u  ,top,positive
49, freethelephants  har watts I didnt either  but here I am grateful my university is still offering an online platf  ,grateful,positive
50, cbarrett In STEM  mainly primary and secondary school mathematics education  Then how competitive maths are at uni  ,competitive,positive
51,Jin Chi explains how coronavirus has disrupted lives and education in Chinaand also increasing the role of online  ,,neutral
52, fraser brad Its almost like a fascist is taking the opportunity of having a global pandemic  amp  provincial state of  ,"like, fascist",neutral
53, freethelephants  har watts Yes   amp  you are still very much getting that education you paid for  Just through anothe  ,,neutral
54, 94Scumbag Which kind of games are you playing mostly   Yeah I also tried the education stuff doing stuff for uni  ,,neutral
55,RT  OpenUniversity  Transitioning to a new way of studying Our students and alumni share their top tips for learning online   ,top,positive
56,RT  kerrywekelo   Education is the most powerful weapon which you can use to change the world    Nelson Mandela via Tip Kuppler of Culture,powerful,positive
57,UTMErequirements forEducation and Chemistry in V   Twitter  UTME C2 A0requirements 20for  ,,neutral
58,RT  smcblackburn  Have you thought about taking the step from College into Higher Education Lauren started her SMC journey as a Sixth For,,neutral
59,RT  J14Magazine  They decided to put their careers on hold to focus on their education instead   ,,neutral
60,RT  LRitch27  Im honored and excited to announce my commitment to further my education and hockey career at St  Lawrence University  Thank,"honored, excited, commitment, thank",positive
61,RT  wch33  Was just wondering  what university did US News and World Report of Best Graduate Schools rank as Number 1 in Education Supervis,best,positive
62,RT  DawsonLinder  Im excited to announce I will be continuing my education and baseball career at the University of Louisiana Monroe  Than,excited,positive
63,RT  z72mohamed  We  university students  demand the cancellation of the second term  Our health is more important than education  We come f,important,positive
64,RT  Cisco  You don t need a campus to  collaborate  See how students and teachers keep collaborating with  Webex   R,,neutral
65,RT  beikohm12  We university students demand the cancellation of the second term Our health is more important than education We come from a,important,positive
66,I didn t realize ASU had a clown for their University President learn something new every day   ,,neutral
67, mike hamm  DAmerican66  prageru  thewillwitt Also worth noting Prager is anti science  authority  and education  W  ,worth,positive
68,RT  jasebyjason  Feel sorry for those final year school and university students who havent gotten to say a proper goodbye to their friends,"proper, sorry",neutral
69,RT  hrdbacot  Yang lagi kuliah yang kerjaannya harus pake referensi textbook Cambridge University Press is making higher education textbo,,neutral
70,RT  esther haydock  This might be a good time to do this Open University course   OpenUniversity  OnlineTeaching  TeachingOnline  edutwitte,good,positive
71,RT  PalomaReinosoMD  My heart   Love this story of  almost  Dr  Anderson Carter who matched  WiscObGyn  who is AMAZING  So proud of all,"love, amazing, proud",positive
72,Ready to pop in your headphones  amp  listen to something to help pass the time   Visit the USDF Education Library and  ,ready,positive
73,Due to the spread of Coronavirus  We re sorry to postpone the Female League Final between the Faculty of Education  ,sorry,negative
74,RT  stephenasmith  Thrilled to announce  FirstTake is coming to Wilmington  Delaware in September to help promote college scholarship oppor,thrilled,positive
75,I thought I got accepted into Marshall University a few years ago but it turns out that Im actually going to schoo  ,,neutral
76, mmvlad  kevkeary  PeterLBrandt I am 25 years today  And I have 0 student debt  I came from Ukraine to Canada and I  ,debt,negative
77,Notre nouveau guide pdagogique comprend de linformation sur lhistoire  la gographie la qualit de vie et les dr  ,,neutral
78,RT  Afesiscorplan  OPINIONISTA  Quality university education is at risk because of the crisis in student accommodation  ,"risk, crisis",negative
79, DailyMirror It tax payers money that are putting these idiots through university for a better education They shoul  ,"better, idiots",neutral
80,In light of everything going online  theres a fantastic free course with the open university that helps you learn  ,"fantastic, free",positive
81, Laelia Ve Je n ai que trs rarement entendu domPter  Pas parce que ma famille a de l ducation  ni de la distincti  ,,neutral
82,Barring any good investment advise from expert on Twitter street  he should buy education endowment fund for them   ,good,positive
83, lporiginalg This virus sure has some positives  The destruction of university education would be a welcome side effect ,"positives, welcome, virus, destruction",neutral
84,RT  VinceKMorgan  And its a Match  Ill be continuing my medical education as an Orthopaedic Surgery resident at Rush University Medical C,,neutral
85,We re hiring in  Nashville  TN  Click the link in our bio to apply to this job and more  Associate Child Care Teach  ,,neutral
86,University employees were directed to start working at home by NU s Carter   ,,neutral
87,RT  PorterConnors  I am extremely excited to announce I ve earned a offer to continue my education  amp  play ball at the University of Cali,excited,positive
88,RT  AndrewMcmullins   NSelkie  EnglishmanAdam  NotMyShitPile Sorry   I keep getting asked how can people be so selfish  England voted fo,"sorry, selfish",negative
89,William Paterson University Campus Closing For the Remainder of the Spring Semester   coronavirus  ,,neutral
90,Education  Keio University  Environment and Information Studies major ,,neutral
91,University of Central Oklahoma is hiring in Edmond  OK  Read about our latest Education job opening via the link in  ,,neutral
92,Our faculty and staff are part of a meaningful work environment that embraces an inclusive community informed by ou  ,"meaningful, work",positive
93,RT  KZNGRM  Our 23rd guest is  sociologyWV  In this episode we talk about the history of the concept of a microaggression and its quick inc,,neutral
94,RT  USCLeader  Learn about University of Southern California s Doctor of Education in Organizational Change and Leadership online program ,,neutral
95,RT  AhmedMa8991927  Our numbers at university exceed thousands of people If anyone injured   Covid 19  coronavirus everyone will be injur,exceed,positive
96,RT  Leonie Wall  Its pissing me off so much that the news keep taking about year 6s not properly finishing primary school and missing th,properly,positive
97,RT  ydsa asu  ASU President Michael Crow calls student requests for refunds a noise level concern  asks are you kidding me about refund,"refund, noise, concern",negative
98,RT  AgnesdeBerlimon   QBlueSkyQ  klsnana6 AlWaleed payed Obamas education at the Columbia UNiversity  ,,neutral
99,RT  badgers united  As  UWMadison continues to drop in research rankings  it s encouraging to see the university take signs to protect the,"encouraging, protect",positive
100,RT  idiabetes  Hello  We are the engineering track students from Imam Abdul Rahman bin Faisal University in Dammam  IAU  We open t,,neutral
101,Check out our guest post on how smart speakers are becoming more of a fixture in higher education  Educ Technology   ,smart,positive
102,RT  RushingEmanuel  Super blessed to say that Ill be taking my talent and education to the university of southern Mississippi  1000  comm,"super, talent",positive
103,If you re looking for work in  Memphis  TN  check out this  Education job via the link in our bio  Clinic Manager   ,work,positive
104,RT  harrythepratt  Fully what does Spalding have against university  never seen a group of young people so against others going and wanting,,neutral
105,RT  EslamHu59146023  Our numbers at university exceed thousands of people If anyone injured   Covid 19  coronavirus everyone will be inju,exceed,positive
106, ASU   NAU and  UArizona have officially moved classes online for the rest of the semester  Here are the details   ,,neutral
107, Herkimer College provides a quality  affordable  education with more than 40 degree and certificate programs avail  ,affordable,positive
108, CanadaGood  VodkaSrups  Laloulabelle  MirandaKeeling Yes  Matter of education so you don t say it as Totten ham  amp   ,,neutral
109,RT  ac woods  An ASU student who lives in a dorm and picks the cheapest meal plan pays  5 000 a semester  minimum Here s how the universi,cheapest,positive
110,I am very excited to announce that I have verbally committed to further my education and softball career at Furman  ,excited,positive
111,I thought this as I heard it  No recognition that education is  not  on hold  No recognition that University worker  ,,neutral
112, realDonaldTrump  So I know for a fact in circles like mine  we have foreign students on visas specifically for un  ,like,positive
113,RT  kingadindu   WorldForestDay with  MangroveMarathon to  SaveNigerianMangroves in collaboration with Ignatius Ajuru University of Educati,,neutral
114, abhinandita m  ArvindKejriwal  munishkindian  msisodia  golemarketwala  AamAadmiParty  SanjayAzadSln  BDUTT  ,,neutral
115,RT  miftahulislam71  We want education   We want semester examination   We want  hostel  No corona patients and corona patients   Boycott q,boycott,negative
116,We know you re working on an education plan for August   TU Admission is here for you   Contact us admission tuscul  ,,neutral
117,Harvard our esteem University once started as a Christian based foundation has devolved into a center for radical  amp   ,radical,negative
118,Uncover how the globally unique identification of products and locations is the foundation of effective  ,effective,positive
119, KidinaSandbox  PhysWiz Any  Canadian  education stat needs to be taken with a grain of salt though because educati  ,,neutral
120,RT  nik kola82  Tools for distance education   getting started   Section of Chemistry   Uppsala University  Sweden   very nice how to overv,nice,positive
121, DCDeoghar  Mam please make stop of every kind of education realated creation by the university Crowd is increasin  ,,neutral
122,NameLee Jaewook   Hangul   Hanja Date of Birth10th May 1998 Zodiac SignTaurus Chinese ZodiacTiger  Bloo  ,,neutral
123,RT  KellyMeyerhofer  It s been  quite  the week  The highlight for me was watching a  uwsmph med student s dream come true on  MatchDay  Th,,neutral
124, Masongham  Marcavellii  ericavaughn   MariposaWarrior  Youngrasp ah yes I love the idea of going bankrupt to get m  ,"love, bankrupt",neutral
125,RT  NIDL DCU  From  mbrownz on the events of the past week  The New Digital University  Reflections on a Week that Changed Irish Higher,,neutral
126,A week ago  NU President Ted Carter said university employees could get up to 80 hours of paid emergency leave shou  ,emergency,negative
127,RT  deanyeats  Short Video on Technology In the Classroom I prepared for the Jean Paul Dionne Symposium at the University Of Ottawa Faculty,,neutral
128, srivatsayb People are scared due to lack of education and also due to WhatsApp university,"scared, lack",negative
129,RT  HeartDocSharon  Stopping the Spread of  COVID19   Good patient education page  JAMA current BUT lets strongly e,"good, patient",positive
130,RT  OvieAli  Last year  the Dangote Foundation built a N1 5bn hostel of 10 blocks and donated it to A B U Zaria  Now he s building a N200bn,,neutral
131, LuckyHeronSay This is Way I support Jeremy Corbyn  He wanted to Give the British people an free University education ,"support, free",positive
132,RT  OvieAli  Nigerian footballer   Ahmedmusa718 is currently sponsoring 100 students to get education from the prestigious Skyline Universi,prestigious,positive
133,RT  Noo learning  We  university students  demand the cancellation of the second term  Our health is more important than education  We come,important,positive
134,RT  austincochrane0  Im excited to officially announce my commitment to Taylor University to not only further my education  but to join th,"excited, commitment",positive
135, ChinaPhotoDaily  finbarmcd  UnaMullally  cmacconiomaire That s good  I don t know much about the Asian countries   ,good,positive
136,27 Art Activities and Lessons to Try at Home   The Art of Education University  ,,neutral
137, usierpinska  Lady3The  Pablonorm  CPHO Canada Education  the path from cocky ignorance to miserable uncertainty  Mark Twain,"cocky, ignorance, miserable",negative
138, HRDMinistry   says that HRD has instructed education institutes to allow students to stay in  ,,neutral
139,FAMILY Mother  Sunny Fu Father  Ouyang Long Siblings 1 Ouyang Didi 2 Ouyang Nini Education  1 Affiliated Senior  ,,neutral
140,Yes we do need to expel them  all they do is go back and use the education we gave them against us  The University   ,expel,negative
141,RT  dom wall  After much consideration  Id like to announce my commitment to Zoom University to further my education  Thank you to everyo,"like, commitment, thank",positive
142,RT  MrEmmanuell  Im excited to announce that I have commited to play Baseball and further my education at Lousiana tech University  Special,excited,positive
143,RT  OhioCoachingEd  Great soccer coaches don t just win games  they create better athletes  Become a better coach with a master s degree in,"great, win, better, master",positive
144, Education is the most powerful weapon which you can use to change the world    Nelson Mandela via Tip Kuppler of C  ,powerful,positive
145,Our Satisfaction Remains In Customer Satisfaction  New 5 StarCustomer Review on Medical Reflective Report Writ  ,,neutral
146,Terrorizing students  Wake up America  this is a prime example of our current public  amp  university education system  ,,neutral
147,RT  reporterannie  UCF has tapped Mizzou s leader  Alexander Cartwright  to be its next president   Cartwright  chancellor of the Universit,,neutral
148,HigherEdPoints allows members to redeem for tuition and student loan repayments   Aeroplan and  cibc Aventura point  ,redeem,positive
149, STUDY IN USA IN CAPITAL UNIVERSITY  NO SUCCESS NO FEES For Free Assessment call us at  0301 828 3336 Plea  ,"success, free, plea",positive
150, RafiArrillaga yes  looking into human capital and workforce development exclusively with a formal education point  ,,neutral
151,Can you recommend anyone for this job in  Providence  RI     Education,"recommend, providence",positive
152,Can you recommend anyone for this Education job in Edmond  OK  Click the link in our bio to see it and more  Reside  ,recommend,positive
153,RT  KamelMo43262477  Our numbers at university exceed thousands of people If anyone injured   Covid 19  coronavirus everyone will be inju,exceed,positive
154,RT  renLarson  College is expensive  Without aid  college housing and a meal plans is more expensive than ASU s in state tuition   rachell,expensive,negative
155,RT  3141592653A  Take a walk across the University of California Irvine campus and you ll see what I mean   Why is the State of California,,neutral
156, Allison Burnett Just shows you the tremendous quality of a Trump University Medical School education ,trump,positive
157,RT  AdrianMorrow  Canada U S  border restrictions have started today  All leisure travel is banned and irregular migrants will be deported ,irregular,negative
158, roz avanthay  winter canada  stphnmaher Martin didnt foresee anything  What makes you think that  What could just  ,,neutral
159,Canada U S  border restrictions have started today  All leisure travel is banned and irregular migrants will be dep  ,irregular,negative
160,RT  SeanPittmanShow   PBSCpresident many roles in higher education have changed Floridas education system for the better  From President,better,positive
161,RT  Mark3Ds   TerryGlavin  rolandparis  nspector4  nytimes  CliveCHamilton  cburton001  FredLitwin  raykwong  vshih2  GordonGChang  David M,,neutral
162, samad samejo  ARehman713  swatkhan25  Mustafa PPP  RanaShahzadPML1 O bhai us ny is mulk k education system ka btay  ,,neutral
163,RT  Moibrahim117  We  university students  demand the cancellation of the second term  Our health is more important than education  We come,important,positive
164, WomensThoughtz  ChristeenGeorge  paulaakpan What people are talking about is racist discrimination against black p  ,"racist, discrimination",negative
165,Agree  My kids are desperate to see Grandma  amp  Grandad but we want them socially distanced not socially DEAD  Usefu  ,"desperate, dead",negative
166,RT  udsehsonline  Earn a Doctor of Education in Leadership for Organizations online from University of Dayton  No GRE required   ,,neutral
167,RT  jessykigen  Get an international education in Cyprus International University   No SAT   IELTS  or TOEFL required 2019 2020 Spring Seme,,neutral
168,Educate yourself and others for the scarcity of water Edurism  Educate  Education  scarcity  water  ,scarcity,negative
169,Leftists believe that their ideas are so morally superior that contrary ideas should be silenced  Essentially  they  ,superior,positive
170,University of Birmingham Pro Vice Chancellor for Education  Consider changes to assessments for University of Birmi  ,vice,negative
171,RT  Abdullahi wolf  Ive never in my university life ready for education lol  All I be wanting to do is rest ,ready,positive
172,The students in Iowa States nursing program balance their jobs while advancing their education by completing a Bac  ,,neutral
173,RT  adabwa5l2  Our numbers at university exceed thousands of people If anyone injured   Covid 19  coronavirus everyone will be injured P,exceed,positive
174,Our numbers at university exceed thousands of people If anyone injured   Covid 19  coronavirus everyone will be i  ,exceed,positive
175, MusicEdu4all True  I taught voluntarily at the University of Somaliland for 3 weeks   all women for primary educat  ,,neutral
176, PBSCpresident many roles in higher education have changed Floridas education system for the better  From Preside  ,better,positive
177,RT  SBushraIqbal  BIG DAY ALHUMDULILLAH Presenting my thesis on the topic   Beautification In Islam  to the scholars  teachers and studen,,neutral
178, ValauraV  CMOH Alberta  CBCNews  CPHO Canada Yes  exactly  For behaviour change messages to work and drive the rig  ,work,positive
179,god everyday im like  i cant wait to go to university  and then im like  but then i have to leave barrie and wont b  ,like,positive
180, MrSamratX As a rule  the working class doesnt value university education  or the fruits thereof ,,neutral
181,RT  kingadindu  Commemorative planting of  mangrove  trees to mark  WorldForestryDay today in the mangrove swamp of Ignatius Ajuru Universi,,neutral
182,RT  nippon en  Even if a Japanese couple wants a second child  hearing that it will cost 10 million for high school and university educati,,neutral
183, ,,neutral
184,RT  Noah Blaylock  The admirable Noah Blaylock has created an extremely detailed Study Guide for my The Case Against Education   Clearly a,"admirable, clearly",positive
185,RT  rasmus kleis  And  Poynter  As a service to the journalism education community in this challenging period  Poynter is offering its onli,challenging,negative
186, education  distancelearning  remotelearning  university  ,,neutral
187,Dahua helps ADA University modernise education system with the installation of Azerbaijan first LED Screen  ,led,positive
188,Saving as a university student is no easy task  but luckily  CapitecBankSA has some advice on how to save as a univ  ,easy,positive
189,RT  MsThesaurus1  Congratulations to Dr  Ashraf Esmail and our Dillard University students in Criminal Justice for being awarded honors at,"congratulations, awarded, criminal",positive
190, JunaidSHayat Empires of Punjab Group of Colleges  amp  Superior University are built on blood  amp  sweat of the students  ,superior,positive
191, rayshaun benny University of Iowa a great education and Development of great college  amp  NFL ready players   ,"great, ready",positive
192,30  is about the floor on ignorance  isnt it  Id say thats a nearly complete education of the public in a very s  ,ignorance,negative
193,RT  CareerSquareIN  HP Inc  is conducting an  internship for college graduates Education requirement   Must be Enrolled in an University ,,neutral
194, MartinaMarkota You should have gone to Canada or Europe  You would have paid MUCH less and still got a proper education ,proper,positive
195,HP Inc  is conducting an  internship for college graduates Education requirement   Must be Enrolled in an Universi  ,,neutral
196,RT  joe mascaro  Fellow ecologists  amp  scientists  good time to dive into remote sensing to take a different perspective on your field sites ,good,positive
197,RT  Mindcite US  Could hydroxychloroquine be used to prevent COVID 19   No   Dr  Fauci  Cornell University Medical College  Its a st,,neutral
198,Ive never in my university life ready for education lol  All I be wanting to do is rest   ,ready,positive
199,RT  mamidala90  JNUs VC appeals to university community to observe Janata Curfew   Education Today News  ,,neutral
200,Vad hnde p Utbildningsvetenskapliga fakulteten 2019  What happened at the Faculty of Education  University of Got  ,,neutral
201, PspkWasimakram Annaya e prapancham money ki amudu poindi nuvu enduku Annaya vallu bagundalani anukuntav 3 years nu  ,,neutral
202, dpakman  Most excitingly for me  Did he really get a university education   realDonaldTrump must really enjoy s  ,"excitingly, enjoy",positive
203,RT  maggieNYT  How COVID 19 is changing the way schools go ahead with traditions  ,,neutral
204,RT  ConversaMumbai   education  school  learning  students  love  motivation  children  kids  student  teacher  science  study  college  un,love,positive
205,Im excited to officially announce my commitment to Taylor University to not only further my education  but to join  ,"excited, commitment",positive
206, Kids need to understand what s going on in their brains and their bodies  she said   Anything that you understand  ,,neutral
207,RT  angsalaksak     The Kingfisher  official student publication of Southern Luzon State University  Lucban  Quezon  is the ,,neutral
208,RT  mathmania64   LOT of 2  Journal of Business Education World University magazine Vintage 1955 print ads 1958 College schools old acc,,neutral
209,It s been  quite  the week  The highlight for me was watching a  uwsmph med student s dream come true on  MatchDay   ,,neutral
210, TerryGlavin  rolandparis  nspector4  nytimes  CliveCHamilton  cburton001  FredLitwin  raykwong  vshih2  ,,neutral
211,This after  Eton College and Oxford university education  assumed he passed  God help all including his family   ,,neutral
212,RT  EndoLadyUK  Great to hear that  UKParliament have been hearing evidence on the impact   endometriosis has on work and education today ,"great, work",positive
213,Join the DePaul University team  See our latest job opening here     Education IL  WindyCity,,neutral
214, BobbyBrexit1  jessphillips  ThickGammon  ,,neutral
215,RT  BryanDFischer  What in the actual hell is this kind of response from ASU prez Michael Crow     ,hell,negative
216,Interested in a job in  LomaLinda  CA  This could be a great fit  Click the link in our bio to apply  Student at Lo  ,great,positive
217,They decided to put their careers on hold to focus on their education instead   ,,neutral
218,RT  byH Leitenbauer  Mr  HUBERT LEITENBAUER  HubertLeitenbauer   Snapshot Founder  amp  Author  PranaEnergieTherapie Designer luxury Spiritu,luxury,positive
219,UW students who vacated dorms mid semester amid COVID 19 coronavirus pandemic will receive refund  ,refund,positive
220, Exquisite article  India don t lack talents and innovative ideas  Our wards need adeptness to innovate which can b  ,"exquisite, talents, innovative, lack",positive
221,RT  RadioCanadaInfo  Au Qubec  le retour en classe devra probablement attendre bien au del de la date prvue du 30 mars Mais tous les l,,neutral
222, UniversityStrikes  Students handed nearly 3m in payments for lost teaching hours during walkouts  Independent  ,lost,negative
223,Welcome to our University of Cincinnati Graduate Medical Education family  Looking forward to meeting you in person  ,welcome,positive
224,RT  ADL  SCOTUS will make a decision on  DACA this term  An unfavorable decision could result in the termination of the program  and could,unfavorable,negative
225, farogoodbye  BostonMaggie  Dustinj17  ih8ocialmedia  ChuckLaroue1  SenWarren Elizabeth Warren and her husband each  ,,neutral
226, marybeth19865  ChrisPloof280  donwinslow  realDonaldTrump Entitled person who is a commissioned officer in the mil  ,,neutral
227,RT  varshasuman  So education does make a person wise  Vice chancellor of Mahatma Phule Agriculture University kept socialising for two day,"wise, vice",neutral
228,Click the link in our bio to see currently open Education jobs like  FWSP   Democracy Coach  Off Campus   Fall Seme  ,"like, fall",neutral
229,Don t submit then quit  Apply for jobs like  Research Program Associate  at Brown University  then look for people  ,like,positive
230,University of Queensland  Available PhD projects  Humanities  Athens at War  Education  Psychology  Music  Busi  ,available,positive
231, 1NTRUD3R01  KeithWoodsYT Yes  and I was fortunate to get my education before the indoctrination in the University   ,"fortunate, indoctrination",neutral
232,Women University offering online classes to students  ,,neutral
233,What a great family     UW medical students celebrate virtual  MatchDay before starting residency in COVID 19 era  ,"great, celebrate",positive
234,RT  cole rhyne  Its been many ups and even more downs but through hard work  blessings from god  support from teachers and my family I am,"work, support, hard",positive
235,RT  ELAN4Kids  An amazing resource from our friends at The University of North Carolina at Chapel Hill   strategies to support families wit,"amazing, support",positive
236,RT  awakened Hindu7  I cannot imagine the heights of selfishness in those who are trending this tag  No quarantine in MANUU  Whole nation i,selfishness,negative
237,So education does make a person wise  Vice chancellor of Mahatma Phule Agriculture University kept socialising for  ,"wise, vice",neutral
238,RT  wonubliss  Welcome back to university life  SEVENTEEN Seungcheol and Jeonghan  NU EST JR  Baekho  Minhyun and Ren   They entered Hanyan,welcome,positive
239,How COVID 19 is changing the way schools go ahead with traditions  ,,neutral
240,RT  icesubc  New issue of Critical Education just published  Teaching Labour Unionism in Schools  Towards Economic and Social Justice   Sam,"issue, critical",negative
241,Establishment of Fortune university will enhance access to tertiary education in Nigeria  NIIRE  ,"fortune, enhance",positive
242, bbcnews My answer to our shortage of doctors Suitable applicants willing to agree to work with the NHS for a presc  ,"suitable, willing, work, shortage",positive
243,Now on  Establishment of Fortune university will enhance access to tertiary education in Nigeria  NIIRE,"fortune, enhance",positive
244,As a service to the journalism education community in this challenging period  Poynter is offering its online catal  ,challenging,negative
245,RT  ALBroadcasters  As a service to the journalism education community in this challenging period  Poynter is offering its online catalog f,challenging,negative
246,Fellow ecologists  amp  scientists  good time to dive into remote sensing to take a different perspective on your field  ,good,positive
247,Abuja University Students Caught Behind Gwako Mountains  Claim They Are Cultist      ,,neutral
248,RT  theworldindex  The top 10 countries for future skills education 1  Finland 2  Switzerland 3  New Zealand 4  Sweden 5  Canad,top,positive
249,RT  ROAR Magazine   When neoliberal austerity and financialization transform higher education into a form of human warehousing for an unnec,,neutral
250,RT  timmyhanna47  Im very excited to say that Ive committed to play football and further my education at Chapman University  Special than,excited,positive
251, Heinens  malonespeaking That s an exhibition of a fine University School education ,fine,positive
252, mmpadellan  realDonaldTrump He got his medical education at Trump University ,trump,positive
253, Luci Dennewill  said the university needed to give students different options to complete their degrees because t  ,,neutral
254,RT  MalalaFund  Gabrielle  her mother and grandmother all fought for their education  Today Gabrielle s the first woman in her family to at,,neutral
255,So when would it feel appropriate for you to address this issue  ,"appropriate, issue",neutral
256,How Did The Coronavirus Affect University Education   ,,neutral
257, jamingeorge04 Too bad  Why you still living there  You should eventually move to Canada  We are the home of the fr  ,bad,negative
258,Je suis curieux d entendre ce que  SCollin UQAM en pense  titulaire de la Chaire de recherche du Canada sur l quit  ,,neutral
259,RT  uTeePee  Click on the link below to learn some budgeting101  how to budget as a student from  CapitecBankSA    ,,neutral
260,kalo kata  Silvia Harini  UPI   UI Pendidikan kalo di translate ke english   indonesia university of education  ,,neutral
261, PaulJSweeney  JaySouthside1 Not sure I buy that about the older generation having it better  The education system  ,better,positive
262,RT  freckledgadii  saving and budgeting in university is close to impossible but I found this article by Capitec to be super useful in that,"super, useful, impossible",positive
263,I cannot imagine the heights of selfishness in those who are trending this tag  No quarantine in MANUU  Whole natio  ,selfishness,negative
264,RT  MNHistoryDay  Consider applying for SHIP  a two week research intensive and college immersion program at the University of Minnesota  T,,neutral
